Número;Solicitante;Estado;Prioridad;Asignado a;Abierto;Actualizado;Resuelto;Tiempo de trabajo;Horas snow;Horas Real;Horas Trabajo;Mes;Año;Actualizado definitivo;Cerrado;Abierto definitivo;Cerrado definitivo;Resuelto definitivo;Mes definitivo desde Cerrado definitivo
"INC2233569";"Solicitante 24";"Cancelado";"3 - Moderada";"Asignado 3";"14/11/2024 8:26";"14/11/2024 9:29";"";0;0;;0;"ene";2024;2024-11-14 09:29:00,000;"14/11/2024 9:29";2024-11-14 08:26:00,000;2024-11-14 09:29:00,000;;"noviembre"
"INC2237635";"Solicitante 17";"Cancelado";"2 - Alta";"Asignado 3";"18/11/2024 9:14";"18/11/2024 9:54";"";0;0;;0;"nov";2024;2024-11-18 09:54:00,000;"18/11/2024 9:54";2024-11-18 09:14:00,000;2024-11-18 09:54:00,000;;"noviembre"
"INC2243387";"Solicitante 20";"Cancelado";"3 - Moderada";"Asignado 3";"22/11/2024 12:42";"26/11/2024 11:12";"";1800;0,5;;0,5;"nov";2024;2024-11-26 11:12:00,000;"26/11/2024 11:12";2024-11-22 12:42:00,000;2024-11-26 11:12:00,000;;"noviembre"
"INC2249272";"Solicitante 32";"Cancelado";"3 - Moderada";"Asignado 3";"26/11/2024 12:32";"13/12/2024 9:23";"";1200;0,33;;0,33;"dic";2024;2024-12-13 09:23:00,000;"13/12/2024 9:23";2024-11-26 12:32:00,000;2024-12-13 09:23:00,000;;"diciembre"
"INC2264574";"Solicitante 15";"Cancelado";"3 - Moderada";"Asignado 1";"10/12/2024 17:11";"12/12/2024 16:43";"";2400;0,67;;0,67;"dic";2024;2024-12-12 16:43:00,000;"12/12/2024 16:43";2024-12-10 17:11:00,000;2024-12-12 16:43:00,000;;"diciembre"
"INC2265939";"Solicitante 35";"Cancelado";"4 - Baja";"Asignado 5";"11/12/2024 10:55";"11/12/2024 15:26";"";0;0;;0;"nov";2024;2024-12-11 15:26:00,000;"11/12/2024 15:26";2024-12-11 10:55:00,000;2024-12-11 15:26:00,000;;"diciembre"
"INC2271157";"Solicitante 36";"Cancelado";"5 - Muy Baja";"Asignado 4";"16/12/2024 16:55";"14/01/2025 15:01";"";0;0;;0;"ene";2025;2025-01-14 15:01:00,000;"14/01/2025 15:01";2024-12-16 16:55:00,000;2025-01-14 15:01:00,000;;"enero"
"INC2275619";"Solicitante 21";"Cancelado";"5 - Muy Baja";"Asignado 5";"20/12/2024 13:32";"14/05/2025 15:43";"";119460;33,18;;33,18;"may";2025;2025-05-14 15:43:00,000;"14/05/2025 15:43";2024-12-20 13:32:00,000;2025-05-14 15:43:00,000;;"mayo"
"INC2282473";"Solicitante 19";"Cancelado";"3 - Moderada";"Asignado 3";"03/01/2025 8:00";"03/01/2025 9:05";"";0;0;;0;"ene";2025;2025-01-03 09:05:00,000;"03/01/2025 9:05";2025-01-03 08:00:00,000;2025-01-03 09:05:00,000;;"enero"
"INC2287200";"Solicitante 25";"Cancelado";"3 - Moderada";"Asignado 2";"09/01/2025 9:23";"31/01/2025 13:07";"";12600;3,5;;3,5;"No cerrada";2025;2025-01-31 13:07:00,000;"31/01/2025 13:07";2025-01-09 09:23:00,000;2025-01-31 13:07:00,000;;"enero"
